ges,price,surface,link,city,hasPictures,title,nbrRooms,ces,state,postalCode,isPro,m2price
d,238000,94,//www.leboncoin.fr/ventes_immobilieres/935102165.htm?ca=16_s,Castelginest,True,Maison Villa Castelginest,4,d, Haute-Garonne ,31780,True,2531
d,286500,84,//www.leboncoin.fr/ventes_immobilieres/915155779.htm?ca=16_s,RamonvilleSaintAgne,True,Maison t4 avec beau jardin de 280m2,4,d, Haute-Garonne ,31520,True,3410
d,325000,115,//www.leboncoin.fr/ventes_immobilieres/935095459.htm?ca=16_s,VilleneuveTolosane,True,Maison 115m2 villeneuve-Tolosane / Toulouse,5,d, Haute-Garonne ,31270,True,2826
,93000,120,//www.leboncoin.fr/ventes_immobilieres/851096957.htm?ca=16_s,MontesquieuVolvestre,True,Maison de village + local commercial,4,, Haute-Garonne ,31310,True,775
,252000,130,//www.leboncoin.fr/ventes_immobilieres/935093294.htm?ca=16_s,Carbonne,True,Villa à Carbonne,5,, Haute-Garonne ,31390,True,1938
d,240000,145,//www.leboncoin.fr/ventes_immobilieres/935089524.htm?ca=16_s,Fronton,True,Maison rénovée proche centre ville,6,d, Haute-Garonne ,31620,True,1655
d,145000,75,//www.leboncoin.fr/ventes_immobilieres/928393696.htm?ca=16_s,Gardouch,True,Maison de village,3,d, Haute-Garonne ,31290,True,1933
d,339000,114,//www.leboncoin.fr/ventes_immobilieres/935085066.htm?ca=16_s,Fonsorbes,True,Maison contemporaine neuve RT 2012,5,d, Haute-Garonne ,31470,True,2973
,68000,0,//www.leboncoin.fr/ventes_immobilieres/935084367.htm?ca=16_s,Toulouse,True,Ancienne Auberge - 68k,0,, Haute-Garonne ,31000,True,0
d,292000,121,//www.leboncoin.fr/ventes_immobilieres/935082729.htm?ca=16_s,RamonvilleSaintAgne,True,Maison 121 m2,0,d, Haute-Garonne ,31520,True,2413
d,470000,130,//www.leboncoin.fr/ventes_immobilieres/921684708.htm?ca=16_s,Toulouse,True,Maison indépendante 5p. 130m2 + studio,5,d, Haute-Garonne ,31400,True,3615
d,400000,0,//www.leboncoin.fr/ventes_immobilieres/906717292.htm?ca=16_s,,True,Villa d'architecte,0,d,,31240,True,0
